pose_id,pose,right_elbow_right_shoulder_right_hip,left_elbow_left_shoulder_left_hip,right_knee_mid_hip_left_knee,right_hip_right_knee_right_ankle,left_hip_left_knee_left_ankle,right_wrist_right_elbow_right_shoulder,left_wrist_left_elbow_left_shoulder,x_left_shoulder_left_wrist,y_left_shoulder_left_wrist,z_left_shoulder_left_wrist,x_right_shoulder_right_wrist,y_right_shoulder_right_wrist,z_right_shoulder_right_wrist,x_left_hip_left_ankle,y_left_hip_left_ankle,z_left_hip_left_ankle,x_right_hip_right_ankle,y_right_hip_right_ankle,z_right_hip_right_ankle,x_left_hip_left_wrist,y_left_hip_left_wrist,z_left_hip_left_wrist,x_right_hip_right_wrist,y_right_hip_right_wrist,z_right_hip_right_wrist,x_left_shoulder_left_ankle,y_left_shoulder_left_ankle,z_left_shoulder_left_ankle,x_right_shoulder_right_ankle,y_right_shoulder_right_ankle,z_right_shoulder_right_ankle,x_left_hip_right_wrist,y_left_hip_right_wrist,z_left_hip_right_wrist,x_right_hip_left_wrist,y_right_hip_left_wrist,z_right_hip_left_wrist,x_left_elbow_right_elbow,y_left_elbow_right_elbow,z_left_elbow_right_elbow,x_left_knee_right_knee,y_left_knee_right_knee,z_left_knee_right_knee,x_left_wrist_right_wrist,y_left_wrist_right_wrist,z_left_wrist_right_wrist,x_left_ankle_right_ankle,y_left_ankle_right_ankle,z_left_ankle_right_ankle,x_left_hip_avg_left_wrist_left_ankle,y_left_hip_avg_left_wrist_left_ankle,z_left_hip_avg_left_wrist_left_ankle,x_right_hip_avg_right_wrist_right_ankle,y_right_hip_avg_right_wrist_right_ankle,z_right_hip_avg_right_wrist_right_ankle,x_nose,y_nose,z_nose,x_left_eye_inner,y_left_eye_inner,z_left_eye_inner,x_left_eye,y_left_eye,z_left_eye,x_left_eye_outer,y_left_eye_outer,z_left_eye_outer,x_right_eye_inner,y_right_eye_inner,z_right_eye_inner,x_right_eye,y_right_eye,z_right_eye,x_right_eye_outer,y_right_eye_outer,z_right_eye_outer,x_left_ear,y_left_ear,z_left_ear,x_right_ear,y_right_ear,z_right_ear,x_mouth_left,y_mouth_left,z_mouth_left,x_mouth_right,y_mouth_right,z_mouth_right,x_left_shoulder,y_left_shoulder,z_left_shoulder,x_right_shoulder,y_right_shoulder,z_right_shoulder,x_left_elbow,y_left_elbow,z_left_elbow,x_right_elbow,y_right_elbow,z_right_elbow,x_left_wrist,y_left_wrist,z_left_wrist,x_right_wrist,y_right_wrist,z_right_wrist,x_left_pinky_1,y_left_pinky_1,z_left_pinky_1,x_right_pinky_1,y_right_pinky_1,z_right_pinky_1,x_left_index_1,y_left_index_1,z_left_index_1,x_right_index_1,y_right_index_1,z_right_index_1,x_left_thumb_2,y_left_thumb_2,z_left_thumb_2,x_right_thumb_2,y_right_thumb_2,z_right_thumb_2,x_left_hip,y_left_hip,z_left_hip,x_right_hip,y_right_hip,z_right_hip,x_left_knee,y_left_knee,z_left_knee,x_right_knee,y_right_knee,z_right_knee,x_left_ankle,y_left_ankle,z_left_ankle,x_right_ankle,y_right_ankle,z_right_ankle,x_left_heel,y_left_heel,z_left_heel,x_right_heel,y_right_heel,z_right_heel,x_left_foot_index,y_left_foot_index,z_left_foot_index,x_right_foot_index,y_right_foot_index,z_right_foot_index,left_shoulder_left_wrist,right_shoulder_right_wrist,left_hip_left_ankle,right_hip_right_ankle,left_hip_left_wrist,right_hip_right_wrist,left_shoulder_left_ankle,right_shoulder_right_ankle,left_hip_right_wrist,right_hip_left_wrist,left_elbow_right_elbow,left_knee_right_knee,left_wrist_right_wrist,left_ankle_right_ankle,left_hip_avg_left_wrist_left_ankle,right_hip_avg_right_wrist_right_ankle
0,jumping_jacks_down,14.021934,8.209491,23.214672,129.22334,116.20365,138.05977,141.57338,2.6396508,36.533203,11.606357,-2.0963106,39.66077,3.333271,0.7094846,34.756783,52.108757,3.171394,33.42964,47.133488,5.730076,-4.1051908,-13.300081,-6.958453,0.31878185,-19.48018,-2.3809404,75.39517,77.0152,8.033537,72.77163,69.94694,-16.01981,1.8585472,-20.348696,14.791432,-5.644956,-12.431568,-21.47847,3.0714264,-2.9109917,-9.305947,-1.4440174,1.7142501,-21.749886,5.963738,-7.0486135,-6.5994473,0.2126236,-5.8437843,-3.21978,-15.325796,-19.404337,1.8935294,-16.874212,-13.826653,-5.889507,-57.63752,-45.01975,-4.6560855,-62.832863,-44.571823,-3.3026257,-63.386856,-44.567863,-2.032406,-63.872166,-44.56217,-7.365534,-61.547394,-43.22219,-8.094638,-61.181343,-43.219574,-8.7948885,-60.837234,-43.221565,0.3203408,-63.05772,-35.62575,-8.877375,-58.75578,-29.455366,-3.112062,-54.17046,-41.242752,-6.512476,-53.172638,-39.353046,7.621102,-41.408276,-24.472181,-9.392822,-38.572105,-23.24771,9.6447,-19.461535,-11.06757,-11.83377,-16.390108,-13.978561,10.260753,-4.8750734,-12.865825,-11.489133,1.0886645,-19.914438,10.423702,2.853016,-14.993233,-11.643494,7.434713,-22.953787,9.608641,2.667237,-17.855345,-10.3145075,6.941773,-25.846296,8.956856,0.19223653,-13.945213,-9.87707,4.980656,-21.360184,4.530677,-0.7698827,0.43425673,-4.5306797,0.7698827,-0.43425673,5.4820313,22.849077,5.814251,-3.823916,21.40506,7.528501,5.2401614,33.9869,52.543015,-1.3592856,34.199524,46.69923,3.6150978,27.651157,56.852562,-0.84202534,35.03706,50.56502,5.84219,45.97102,50.263714,0.092778556,45.84215,41.427795,38.4233,39.855762,62.64072,57.871964,15.0525255,20.68814,107.80279,101.25622,25.964552,20.129477,21.891373,9.572068,23.628513,8.817467,24.935423,21.897507
1,jumping_jacks_down,67.07734,75.85712,6.334966,33.741722,33.62526,149.02754,155.01839,5.621649,58.556816,-29.103119,-9.555062,60.220802,-24.85955,-1.6867137,52.41979,-18.55162,2.9584124,51.582455,-14.692148,9.159294,18.923054,-103.99598,-16.550665,19.929337,-96.15331,-5.2243595,92.05355,56.34124,9.954015,91.87392,56.601612,-28.718246,19.76522,-92.7871,21.326876,19.08717,-107.36219,-32.47805,-1.7056274,11.550827,-10.580033,0.21940231,7.5959396,-37.87754,0.8421669,11.208878,-7.522455,-1.0014496,7.2256794,-3.7362905,-35.67142,61.2738,6.796126,-35.755894,55.42273,-4.2555037,-62.935925,-128.9075,-2.9774034,-67.03599,-124.258545,-2.215265,-67.19825,-124.26324,-1.4949032,-67.2716,-124.28937,-5.4900193,-66.69405,-123.841034,-6.242488,-66.59599,-123.86852,-6.9707446,-66.471275,-123.88727,0.15887114,-66.27691,-94.84077,-7.3829746,-65.17863,-93.38963,-2.4051735,-59.359146,-117.840805,-5.484713,-58.614414,-117.411385,9.621441,-39.551704,-76.575966,-13.079389,-40.373524,-69.61066,13.726971,-9.250046,-83.72878,-18.751081,-10.955673,-72.177956,15.24309,19.005112,-105.679085,-22.63445,19.847279,-94.47021,16.548235,28.0645,-114.31522,-24.55268,27.681068,-101.94094,15.545763,28.09924,-118.72382,-23.852718,27.994123,-108.40802,14.1872835,30.526299,-107.92304,-22.900806,24.882238,-97.551476,6.083795,0.0820588,-1.683104,-6.0837865,-0.0820588,1.683104,3.4938068,21.059874,-99.83001,-7.0862265,21.279276,-92.23407,4.3970814,52.501846,-20.234724,-3.125374,51.500397,-13.009045,4.149046,56.273407,-14.12917,-1.2988908,54.733307,-6.8860507,3.980098,65.37083,-49.02393,-5.0906343,65.64178,-42.878056,65.63151,65.84711,55.6313,53.715553,106.09966,99.58194,108.05316,108.36808,99.12037,111.11163,34.513107,13.026263,39.510204,10.478581,70.999214,66.30498
2,jumping_jacks_down,74.106384,75.37814,6.4245553,29.761814,29.707142,150.3709,150.9087,8.5707035,61.962692,-30.658058,-11.03088,60.72599,-31.648384,-2.2888298,49.7848,-25.031103,2.4922688,48.01922,-23.47997,12.197981,22.052778,-107.91586,-17.90008,20.701614,-106.49949,-5.9161067,89.69472,52.2267,9.361468,88.043594,51.37113,-30.603392,20.706392,-103.43279,24.901293,22.048,-110.98256,-36.48413,-4.8040113,7.14608,-12.092692,0.26394463,7.8264236,-42.801373,-1.346386,4.4830704,-7.9222145,-1.760807,4.6178284,-4.954575,-35.91879,66.47348,7.7039056,-34.360416,64.98973,-2.8789172,-61.709988,-137.45334,-1.6190505,-65.69375,-132.18166,-0.7858217,-65.81434,-132.18407,-0.019742824,-65.89035,-132.21225,-4.0781307,-65.5867,-132.12488,-4.9351325,-65.607765,-132.15244,-5.6710544,-65.63176,-132.17393,1.5497725,-65.18216,-99.45359,-6.6102757,-64.33623,-99.91089,-1.3060751,-58.03533,-125.136986,-4.3067327,-57.60425,-125.276115,9.978933,-39.91231,-78.79115,-13.220856,-40.021996,-73.31776,16.538727,-5.446848,-86.096214,-19.945402,-10.250859,-78.950134,18.549637,22.05038,-109.44921,-24.251736,20.703995,-104.96614,20.340712,31.081423,-118.517914,-27.143755,28.058228,-113.04601,18.18777,30.579784,-123.642456,-26.358335,28.842712,-119.78474,17.251207,28.861786,-112.00682,-24.714437,25.727966,-108.225464,6.3516564,-0.002397281,-1.5333477,-6.3516564,0.002379909,1.5333477,4.476383,17.047047,-112.18325,-7.616309,17.310991,-104.35683,4.0628266,49.782406,-26.564451,-3.8593876,48.0216,-21.946623,3.4127724,53.354908,-19.9044,-2.1197696,51.265694,-15.554097,1.9948937,62.725025,-57.717957,-4.452602,62.494457,-53.804527,69.661674,69.36099,55.770256,53.51043,110.81944,109.95959,103.96043,102.363594,109.83472,115.85904,37.48649,14.406796,43.05657,9.337358,75.71942,73.91653
3,jumping_jacks_down,60.99823,68.259796,7.821799,51.646942,49.7939,139.17223,146.2462,12.450983,46.677666,-20.39289,-16.46046,50.275375,-17.97036,-2.6731322,57.219868,-7.404943,2.5476584,57.17983,-4.892006,15.405111,5.664037,-96.18491,-23.025505,11.370529,-90.94698,-5.62726,98.23349,68.387085,9.112702,96.08467,68.08462,-33.820126,11.550253,-85.30128,26.199732,5.4843144,-101.83062,-35.667084,6.0019026,11.887062,-8.445639,0.12459564,9.614422,-49.225235,5.886215,10.883636,-5.5738306,0.13968658,8.15864,-6.365989,-31.441952,51.79493,10.238924,-34.275177,47.919495,-4.242575,-60.37122,-135.09483,-3.1181333,-64.416,-129.99593,-2.369744,-64.60329,-130.0034,-1.7537795,-64.713486,-130.03014,-5.2497053,-63.894188,-129.77502,-5.8426337,-63.733406,-129.80473,-6.406885,-63.51668,-129.81789,-0.39684385,-63.73418,-99.67495,-6.6782556,-62.118004,-98.68552,-2.5420797,-57.574074,-123.97383,-5.1852407,-56.916283,-123.65972,8.3514385,-41.10349,-78.614876,-11.962355,-38.814983,-70.15377,16.352345,-19.105413,-80.3168,-19.314741,-13.103511,-68.42974,20.802422,5.574176,-99.00777,-28.422815,11.460391,-88.12413,22.555964,12.941505,-105.3481,-31.474527,17.327095,-93.91866,21.757057,13.627078,-111.58165,-31.827667,17.337917,-101.7121,20.899534,11.227438,-101.93089,-30.599478,15.769301,-91.86458,5.3973107,-0.089861564,-2.8228517,-5.3973107,0.089861564,2.8228517,3.0443497,27.221813,-68.492,-5.4012885,27.346409,-58.877575,2.7241786,57.130005,-10.227795,-2.8496523,57.26969,-2.0691543,2.6991422,59.994877,-6.855729,-1.4854746,59.729427,1.433403,1.9501016,68.187256,-42.989098,-4.5733376,68.14435,-34.117043,52.4376,55.87033,57.758915,57.445232,97.57529,94.503,119.82603,118.113594,92.48523,105.28998,38.071854,12.797712,50.756527,9.881827,60.924847,59.79884
4,jumping_jacks_down,28.63188,20.92373,13.974962,133.0697,134.82716,122.640205,105.69104,9.353104,27.570175,-10.257456,-8.173931,27.220562,-33.42155,-1.3169518,49.85751,45.05231,1.0781353,50.26468,42.37694,12.235221,-12.887604,-18.914082,-11.2778845,-12.321349,-40.821224,-4.199069,90.31529,53.70894,4.182089,89.806595,49.776615,-18.743343,-11.906496,-39.092335,19.70068,-13.302457,-20.642975,-21.447956,3.072464,-7.694142,-6.6116595,1.5413761,0.90316916,-30.978565,0.9811077,-20.178251,-5.0703716,0.8220253,-0.9464798,-5.459134,-18.484953,-13.069115,5.0998745,-18.971666,-0.7778578,-0.8055432,-56.17857,-41.124413,-0.055174388,-58.501305,-37.93856,0.45693618,-58.47396,-37.95443,0.96929026,-58.420975,-37.9657,-1.6003437,-58.466236,-37.740726,-2.109919,-58.391834,-37.74191,-2.580076,-58.2673,-37.74708,1.7210199,-56.863434,-19.394129,-3.0094824,-56.525833,-18.784786,0.34261978,-53.399857,-34.320892,-1.6820596,-53.466946,-34.15036,6.6148534,-40.6652,-9.521072,-6.8366756,-39.334476,-6.535229,11.046882,-24.763676,-3.1017718,-10.401074,-21.691212,-10.795914,15.9679575,-13.095023,-19.778528,-15.010607,-12.113915,-39.95678,18.233288,-9.470372,-24.322199,-17.193197,-8.687159,-46.51043,18.118427,-9.990546,-29.795815,-17.335106,-8.800731,-51.465015,17.112183,-10.936589,-22.393103,-16.284739,-9.693833,-43.066036,3.7327363,-0.2074196,-0.8644457,-3.7327223,0.20743394,0.8644457,2.8750556,25.615683,5.1874304,-3.736604,27.157059,6.0905995,2.4157846,49.65009,44.187866,-2.654587,50.472115,43.241386,1.9111795,51.426052,47.124107,-2.4557185,52.861732,45.936783,2.6997638,57.254112,27.531416,-2.288348,57.803005,26.288315,30.867628,43.872227,67.21024,65.753365,25.952522,44.106445,105.16242,102.76393,44.95874,31.483402,22.99249,6.8487663,36.983727,5.223047,23.28728,19.660568
5,jumping_jacks_down,27.859581,11.336541,11.877183,95.642525,96.21536,120.18892,108.00745,5.370668,33.283684,-8.8012,-3.9659982,32.569763,-29.60505,-3.761506,41.462654,57.145935,1.2111166,39.50942,59.361153,7.5793815,-7.1888986,-22.686357,-7.2243595,-6.9507666,-44.377186,-5.9702196,81.93524,71.03109,4.4694777,79.02995,74.13329,-15.133375,-6.5424795,-44.160748,15.488398,-7.5971856,-22.902792,-17.97459,1.9041519,-10.643833,-5.6501703,2.9934196,1.8779966,-22.712757,0.64641905,-21.474392,-2.9363937,-1.5449486,2.431656,-1.9089379,-17.136877,-17.229788,3.0066214,-16.279325,-7.491985,-1.4536859,-55.86832,-49.87155,-0.7385633,-58.564365,-46.533375,-0.24608544,-58.588676,-46.553947,0.29475278,-58.611645,-46.57515,-2.1810312,-58.53028,-46.623287,-2.7297246,-58.484467,-46.62776,-3.3021522,-58.417274,-46.639526,1.2612629,-57.37767,-26.097986,-3.8612406,-56.895924,-26.99073,-0.49415216,-53.373234,-42.173862,-2.1977606,-53.04507,-42.434917,6.1632285,-40.676727,-13.993375,-7.2128625,-39.316387,-14.6639185,9.167153,-20.920277,-6.1311593,-8.807436,-19.016125,-16.774992,11.533896,-7.393042,-22.794575,-11.178861,-6.746623,-44.268967,12.90088,-1.1792762,-27.820396,-11.819008,-2.5040662,-50.742775,12.624656,-0.7355495,-33.178432,-11.775977,-2.468096,-55.59174,11.691074,-2.6781552,-25.306665,-11.083382,-4.4906096,-47.04017,3.954515,-0.20414335,-0.10821759,-3.9545012,0.20414335,0.10821759,2.2619712,27.236664,-3.4478269,-3.3881989,30.230083,-1.5698303,0.19300902,41.25851,57.037716,-2.7433846,39.713562,59.46937,-0.080716915,42.705875,63.08117,-2.591634,41.577656,65.64781,0.051388144,48.48271,54.80191,-2.7144883,47.07617,56.130554,34.844067,44.192505,70.703316,71.31765,24.97595,45.495483,108.60223,108.45024,47.13804,28.673082,20.976246,6.6642222,31.263983,4.113663,24.375853,18.171022
6,jumping_jacks_down,10.567529,14.932958,13.324726,146.00357,150.65228,114.791756,114.03148,5.453657,35.109245,-10.933853,-3.0335054,33.997063,-6.3233624,-3.3719156,48.018906,51.895454,2.1534712,49.302956,49.774128,7.6307015,-5.7595735,-32.112953,-6.5448937,-5.1229916,-26.001999,-5.54896,88.887726,73.074554,5.66486,88.423004,69.45277,-14.565079,-4.9198184,-25.939533,15.650887,-5.9627466,-32.175423,-18.654766,1.9971447,2.7440987,-5.7008886,0.37660217,-2.665966,-22.19578,0.83975506,6.173422,-2.4947977,1.4872208,-2.058857,-2.129393,-21.129667,-9.891249,2.1957111,-22.089981,-11.8860655,-1.4135368,-56.76488,-53.314358,-0.61942035,-59.05415,-50.60814,-0.08219676,-59.036785,-50.6165,0.4441279,-58.983337,-50.618755,-2.0598989,-59.062862,-50.61149,-2.5961385,-59.012676,-50.61552,-3.1462438,-58.928566,-50.6248,1.301983,-57.524723,-32.36718,-3.7829742,-57.338245,-32.947647,-0.49327,-53.94602,-46.36149,-2.226797,-53.879356,-46.518257,6.1871367,-40.970413,-21.210335,-7.5214806,-39.018475,-19.647404,9.489886,-21.380924,-14.762131,-9.16488,-19.38378,-12.018032,11.640794,-5.8611674,-32.144188,-10.554986,-5.0214124,-25.970766,13.361141,0.46656686,-37.444996,-11.32272,0.73671436,-30.90097,12.570678,0.8046725,-42.54966,-11.098755,0.8078631,-36.293854,11.51849,-1.4988794,-34.60586,-10.430967,-1.2533329,-28.630623,4.0100923,-0.10159419,-0.031233009,-4.0100923,0.10157927,0.031233009,2.5563745,23.860975,13.13191,-3.144514,24.237577,10.465944,0.6381766,47.917313,51.86422,-1.856621,49.404533,49.805363,0.058654465,51.127537,55.076218,-1.738999,52.734734,52.96917,1.3324434,54.757267,38.721363,-1.9317505,55.558258,34.231705,37.1746,34.71293,70.78364,70.09196,33.50585,27.29807,115.2029,112.58066,30.153034,36.27344,18.960985,6.3047075,23.053612,3.5601592,23.427204,25.180687
7,jumping_jacks_down,10.874948,11.197143,13.995538,122.159706,124.193634,110.021736,99.133995,5.5532804,33.067455,-10.061077,-4.1241465,33.347168,-8.518911,-4.0001636,46.152092,57.81492,1.3954687,46.165306,56.1219,7.874335,-7.3244977,-28.746014,-7.4493694,-6.2545714,-29.232298,-6.321218,86.544044,76.499855,4.7206917,85.767044,76.83528,-15.586445,-6.2975354,-31.18067,16.01141,-7.2815337,-26.797642,-18.597363,0.6038761,-5.997244,-5.9824286,0.9469242,-2.4455519,-23.460781,1.0269623,-2.4346561,-2.7414436,-0.02974701,-3.6413918,-1.9370856,-19.413795,-14.534452,3.0269504,-19.955368,-13.4448,-1.0384473,-56.668972,-55.748825,-0.25960818,-59.30742,-52.662563,0.30057594,-59.30959,-52.675957,0.81967574,-59.290684,-52.68723,-1.7836204,-59.300102,-53.182816,-2.3488178,-59.269226,-53.189713,-2.8999953,-59.211784,-53.20351,1.5279763,-58.08609,-32.259792,-3.5577383,-57.908993,-35.00163,-0.15044828,-53.87142,-47.864223,-1.8007596,-53.757977,-48.64753,6.389585,-40.370472,-17.71075,-7.3937683,-39.623222,-21.687572,9.459281,-21.039091,-8.082138,-9.1380825,-20.435215,-14.079382,11.942865,-7.3030157,-27.771828,-11.517915,-6.2760534,-30.206484,13.348405,-1.0290617,-33.272945,-12.341875,-1.100431,-35.850735,12.931149,-1.1057067,-39.122997,-11.905818,-0.95350957,-41.321804,11.977391,-3.4683557,-30.60646,-11.288168,-2.858124,-32.917206,4.0685306,0.021482203,0.9741859,-4.0685453,-0.021482203,-0.9741859,2.2359126,25.461596,6.6058607,-3.7465162,26.40852,4.160309,0.068367034,46.173573,58.789104,-2.6730766,46.143826,55.147713,-0.50133395,48.876087,63.468338,-2.608018,49.35887,59.540283,0.73451936,53.902126,47.632492,-2.51693,53.330326,40.3732,35.00744,34.664303,74.08496,72.68322,30.691801,30.808117,115.68085,115.24726,35.423584,32.054634,19.549768,6.5319858,23.609118,4.5580845,24.328955,24.251635
8,jumping_jacks_down,10.369743,7.097713,21.346338,115.9387,99.7412,135.73085,123.66159,2.7671456,38.841557,-8.103028,-2.4887686,41.28795,-8.968259,-1.7938845,53.372345,23.281048,2.6246483,52.97434,31.254852,6.0626917,-1.5425727,-21.444832,-5.8007355,1.672083,-21.758886,-5.089431,93.75647,36.622852,5.936615,92.5902,44.04548,-15.111647,2.082733,-23.923864,15.373603,-1.9532225,-19.279854,-17.90068,1.2457314,-3.8825068,-8.590664,2.6286335,7.2655187,-21.17434,3.6253057,-2.4790325,-4.8923783,0.012641907,5.8088264,-2.1344037,-25.914886,-0.91810775,1.5880437,-27.323212,-4.747983,-0.9237457,-61.59923,-42.670067,0.06615465,-63.556183,-39.227818,0.6912675,-63.524258,-39.2374,1.2144324,-63.472866,-39.24355,-1.9065539,-63.382824,-39.41843,-2.532734,-63.17802,-39.4189,-3.1558723,-62.953156,-39.42343,2.2788665,-61.441864,-21.6002,-3.8848302,-60.346592,-22.423777,0.53023344,-58.42194,-36.402832,-1.9877527,-58.1721,-36.641685,7.950999,-40.589447,-12.259315,-7.9674253,-39.410534,-13.8731165,8.8791685,-18.778517,-5.9419503,-9.021511,-17.532785,-9.824457,10.718144,-1.7478917,-20.362343,-10.456194,1.8774139,-22.841375,10.92822,3.7112784,-24.387892,-10.485025,8.247911,-27.007622,10.560004,3.689444,-29.174572,-9.794678,8.421031,-32.02578,10.099211,1.9311631,-22.656736,-9.457002,6.178024,-25.254192,4.6554527,-0.20531897,1.0824893,-4.6554585,0.20533085,-1.0824893,4.9319253,28.154722,-11.992219,-3.6587386,30.783356,-4.7267003,2.8615682,53.167027,24.363537,-2.03081,53.17967,30.172363,1.7441914,55.02845,26.929506,-1.679549,54.841568,32.490063,3.9395583,61.25079,6.7993307,-2.5430818,64.17449,12.138072,39.774147,42.32397,58.25661,61.56326,22.338678,22.580822,100.78398,102.70439,28.373419,24.736116,18.359196,11.55409,21.625011,7.594603,26.018837,27.778107
9,jumping_jacks_down,10.679252,6.2657557,15.623316,119.16371,110.973946,136.38322,124.41369,2.8070655,38.52334,-5.4975977,-3.4313617,42.009377,-6.4090767,-2.501251,53.93739,31.749264,2.8172793,52.797573,35.682335,5.7290816,-1.7413298,-19.7079,-6.6741357,2.2746859,-21.109138,-5.4232674,94.20206,45.959564,6.0600533,92.53226,50.382397,-15.923237,2.4747696,-22.618843,14.978182,-1.9414133,-18.198195,-17.836721,1.3800392,-4.0474434,-7.547072,0.595438,3.318927,-21.652317,4.2160993,-2.910944,-3.9305706,-0.9397354,2.4233665,-1.6139154,-26.098032,-6.0206823,1.9284282,-27.536129,-7.286598,-1.278404,-60.812294,-43.952213,-0.18310402,-62.63163,-40.798725,0.44604614,-62.6045,-40.808464,1.0220807,-62.51247,-40.816513,-2.0847158,-62.367527,-40.960762,-2.698528,-62.14962,-40.964043,-3.2660787,-61.9277,-40.974636,2.061188,-60.586006,-23.727911,-3.9385426,-59.662975,-24.328201,0.10941999,-57.69778,-37.756817,-2.2826815,-57.510834,-37.94367,7.5465665,-40.36471,-13.455449,-7.8673244,-39.634647,-15.454914,8.464334,-18.97178,-6.1452456,-9.372388,-17.591742,-10.192689,10.353632,-1.8413715,-18.953047,-11.298686,2.3747277,-21.86399,10.530381,3.731599,-22.61169,-11.998291,8.4424,-25.611042,10.201216,3.834747,-27.131063,-10.908663,8.767319,-31.052048,9.785916,1.7791718,-21.11962,-10.444813,6.8294706,-24.35353,4.6245503,-0.1000418,0.7548525,-4.6245503,0.1000418,-0.7548525,4.639894,29.588238,-5.3552947,-2.907178,30.183676,-2.0363677,2.1232994,53.83735,32.504116,-1.8072711,52.897614,34.927483,1.167519,55.61197,35.17494,-1.631745,54.45188,37.58983,3.6215906,63.582336,16.068146,-2.328637,62.689304,18.562525,39.01475,42.63377,62.637962,63.78675,20.597473,22.255651,104.9558,105.53355,27.772036,23.649298,18.342163,8.266083,22.250212,4.712239,26.832083,28.54911
